,id,SPACECRAFT_NAME,SATURATED_DEFECTIVE_PIXEL_PERCENTAGE,BOA_ADD_OFFSET_B12,CLOUD_SHADOW_PERCENTAGE,system:footprint,SENSOR_QUALITY,GENERATION_TIME,CLOUDY_PIXEL_OVER_LAND_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,THIN_CIRRUS_PERCENTAGE,GRANULE_MEAN_WV,BOA_ADD_OFFSET_B1,BOA_ADD_OFFSET_B2,DATASTRIP_ID,BOA_ADD_OFFSET_B5,BOA_ADD_OFFSET_B6,BOA_ADD_OFFSET_B3,BOA_ADD_OFFSET_B4,BOA_ADD_OFFSET_B9,BOA_ADD_OFFSET_B7,BOA_ADD_OFFSET_B8,GRANULE_ID,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8,DATATAKE_TYPE,MEAN_INCIDENCE_AZIMUTH_ANGLE_B9,MEAN_INCIDENCE_AZIMUTH_ANGLE_B6,MEAN_INCIDENCE_AZIMUTH_ANGLE_B7,MEAN_INCIDENCE_AZIMUTH_ANGLE_B4,NOT_VEGETATED_PERCENTAGE,MEAN_INCIDENCE_AZIMUTH_ANGLE_B5,RADIOMETRIC_QUALITY,MEAN_INCIDENCE_AZIMUTH_ANGLE_B2,MEAN_INCIDENCE_AZIMUTH_ANGLE_B3,MEAN_INCIDENCE_AZIMUTH_ANGLE_B1,HIGH_PROBA_CLOUDS_PERCENTAGE,UNCLASSIFIED_PERCENTAGE,OZONE_SOURCE,GRANULE_MEAN_AOT,BOA_ADD_OFFSET_B8A,SNOW_ICE_PERCENTAGE,BOA_ADD_OFFSET_B11,BOA_ADD_OFFSET_B10,GEOMETRIC_QUALITY,system:asset_size,system:index,DATATAKE_IDENTIFIER,AOT_RETRIEVAL_ACCURACY,AOT_RETRIEVAL_METHOD,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8A,MEAN_SOLAR_AZIMUTH_ANGLE,VEGETATION_PERCENTAGE,SOLAR_IRRADIANCE_B12,SOLAR_IRRADIANCE_B10,SOLAR_IRRADIANCE_B11,SOLAR_IRRADIANCE_B8A,FORMAT_CORRECTNESS,system:time_end,WATER_VAPOUR_RETRIEVAL_ACCURACY,OZONE_VALUE,system:time_start,PROCESSING_BASELINE,SENSING_ORBIT_NUMBER,NODATA_PIXEL_PERCENTAGE,SENSING_ORBIT_DIRECTION,GENERAL_QUALITY,REFLECTANCE_CONVERSION_CORRECTION,MEDIUM_PROBA_CLOUDS_PERCENTAGE,MEAN_INCIDENCE_ZENITH_ANGLE_B1,MEAN_INCIDENCE_ZENITH_ANGLE_B5,MEAN_INCIDENCE_ZENITH_ANGLE_B4,MEAN_INCIDENCE_ZENITH_ANGLE_B3,MEAN_INCIDENCE_ZENITH_ANGLE_B2,MEAN_INCIDENCE_ZENITH_ANGLE_B9,MEAN_INCIDENCE_ZENITH_ANGLE_B8,MEAN_INCIDENCE_ZENITH_ANGLE_B7,DARK_FEATURES_PERCENTAGE,MEAN_INCIDENCE_ZENITH_ANGLE_B6,MEAN_SOLAR_ZENITH_ANGLE,MEAN_INCIDENCE_ZENITH_ANGLE_B8A,RADIATIVE_TRANSFER_ACCURACY,MGRS_TILE,CLOUDY_PIXEL_PERCENTAGE,PRODUCT_ID,MEAN_INCIDENCE_ZENITH_ANGLE_B10,SOLAR_IRRADIANCE_B9,DEGRADED_MSI_DATA_PERCENTAGE,MEAN_INCIDENCE_ZENITH_ANGLE_B11,L2A_QUALITY,MEAN_INCIDENCE_ZENITH_ANGLE_B12,SOLAR_IRRADIANCE_B6,MEAN_INCIDENCE_AZIMUTH_ANGLE_B10,SOLAR_IRRADIANCE_B5,MEAN_INCIDENCE_AZIMUTH_ANGLE_B11,SOLAR_IRRADIANCE_B8,MEAN_INCIDENCE_AZIMUTH_ANGLE_B12,SOLAR_IRRADIANCE_B7,SOLAR_IRRADIANCE_B2,SOLAR_IRRADIANCE_B1,SOLAR_IRRADIANCE_B4,SOLAR_IRRADIANCE_B3,WATER_PERCENTAGE,date
0,COPERNICUS/S2_SR_HARMONIZED/20230815T185919_20230815T190930_T10UGV,Sentinel-2B,0,-1000,0.001088,"{'type': 'LinearRing', 'coordinates': [[-120.23161840128378, 49.619635570948745], [-120.23162358028529, 49.61962099411335], [-120.2592030914337, 49.12644726133067], [-120.28603979153036, 48.633227564023905], [-120.28598669129718, 48.63318477424808], [-120.28594217170989, 48.633137985861104], [-120.28591997160291, 48.633134665269424], [-118.79928250914857, 48.58844826377462], [-118.79921684951579, 48.58848247575698], [-118.79914517310502, 48.58851100766749], [-118.79913972655694, 48.58852563733207], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71514432843388, 49.57339214035129], [-118.7151881209127, 49.57343954244238], [-118.71521064200907, 49.57344318513489], [-120.23148014090812, 49.6197000545994], [-120.23154615511808, 49.6196649880231], [-120.23161840128378, 49.619635570948745]]}",PASSED,1692138980000,0.110172,0.109316,1.2999999999999998e-05,1.29965,-1000,-1000,S2B_OPER_MSI_L2A_DS_2BPS_20230815T223620_S20230815T190930_N05.09,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A033644_20230815T190930,265.59043044022,INS-NOBS,263.948017639317,264.235964733474,264.143465668298,264.478842788137,33.910295,264.292265421278,PASSED,266.256263238055,265.091179527653,263.946142625256,0.021148,0.288745,AUX_ECMWFT,0.194518,-1000,0.04572300000000001,-1000,-1000,PASSED,1780529526,20230815T185919_20230815T190930_T10UGV,GS2B_20230815T185919_033644_N05.09,0,SEN2COR_DDV,264.101869561681,158.770244486776,61.060411,87.75,365.41,247.08,953.93,PASSED,1692126656233,0,275.317614,1692126656233,05.09,13,0.0,DESCENDING,PASSED,0.97383321201777,0.088155,4.79613970274752,4.54353785528601,4.48641570254649,4.40292918418956,4.31557658529658,4.8678513480807,4.3578926630361,4.6601267190204,3.630171,4.59954677724481,36.7273490012841,4.72376756031797,0,10UGV,0.109316,S2B_MSIL2A_20230815T185919_N0509_R013_T10UGV_20230815T223620,4.45857378949027,817.58,0.0118,4.58794926388952,PASSED,4.7361182550032,1291.13,264.438550332684,1425.78,264.110168040311,1041.28,263.949869668878,1175.57,1959.75,1874.3,1512.79,1824.93,0.954257,2023-08-15
0,COPERNICUS/S2_SR_HARMONIZED/20230815T185919_20230815T190930_T11ULQ,Sentinel-2B,0,-1000,0.0,"{'type': 'LinearRing', 'coordinates': [[-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.76907306576355, 49.619686839428596], [-119.7691349642631, 49.61964872931927], [-119.76920787978723, 49.61961399030162], [-119.74161947287006, 49.1264277376968], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.35572434245796, 48.65714282446254], [-118.35354574108925, 48.65753102921467], [-118.3535252248064, 48.65755147232572], [-118.35348818298819, 48.657552165160645], [-118.3534664357478, 48.657569448813796], [-118.35187831101383, 48.65920985022725], [-118.33449159075032, 48.67993411288414], [-118.25365052616097, 48.83846965030556], [-118.23160717023167, 48.90673147145536], [-118.23136178356087, 48.91897890780884], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077]]}",PASSED,1692138980000,0.000109,0.000141,0.0,1.400801,-1000,-1000,S2B_OPER_MSI_L2A_DS_2BPS_20230815T223620_S20230815T190930_N05.09,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A033644_20230815T190930,285.637859106953,INS-NOBS,286.744861344856,286.302422233914,286.406253481927,286.044833045385,27.672057999999996,286.174281999931,PASSED,285.511225534738,285.78564733002,286.613370430604,0.0,0.217839,AUX_ECMWFT,0.208921,-1000,0.0,-1000,-1000,PASSED,1744317582,20230815T185919_20230815T190930_T11ULQ,GS2B_20230815T185919_033644_N05.09,0,SEN2COR_DDV,286.524391299388,159.592359703513,68.558729,87.75,365.41,247.08,953.93,PASSED,1692126653841,0,275.650292,1692126653841,05.09,13,1.186257,DESCENDING,PASSED,0.97383321201777,0.000141,7.14503519335037,7.01065679766787,6.98326441880924,6.94127606189931,6.91704846476516,7.18860575887527,6.92151438866294,7.07847287468392,2.34818,7.04263058462992,36.6420581161472,7.11010649372145,0,11ULQ,0.000141,S2B_MSIL2A_20230815T185919_N0509_R013_T11ULQ_20230815T223620,6.96854484079937,817.58,0.0204,7.03795839358334,PASSED,7.11895989562544,1291.13,285.828684632665,1425.78,286.18239425385,1041.28,286.457042618829,1175.57,1959.75,1874.3,1512.79,1824.93,1.203056,2023-08-15
0,COPERNICUS/S2_SR_HARMONIZED/20230817T184921_20230817T185726_T10UGV,Sentinel-2A,0,-1000,0.161856,"{'type': 'LinearRing', 'coordinates': [[-120.00297913777423, 48.626518194370874], [-120.00295936191964, 48.62649986423303], [-120.00243864107101, 48.626126418609594], [-120.00237024770252, 48.626098186478025], [-118.79928250914857, 48.58844826377462], [-118.79914076433354, 48.58851279234404], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71519079009671, 49.57344245994555], [-119.63269349484044, 49.60381611203946], [-119.63275154166834, 49.603785760887625], [-119.6328266124628, 49.603767921262], [-119.79000632626546, 49.19524914255238], [-119.89713976291385, 48.91098333349041], [-120.00299159881314, 48.62658224485824], [-120.00296735098532, 48.626551772270446], [-120.00297913777423, 48.626518194370874]]}",PASSED,1692317519000,64.933914,64.711773,9.21612,1.351732,-1000,-1000,S2A_OPER_MSI_L2A_DS_2APS_20230818T001159_S20230817T185726_N05.09,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A042581_20230817T185726,105.263705837821,INS-NOBS,106.921225853849,106.196170375603,106.377722594467,105.813139774858,16.779406,106.012392750837,PASSED,105.066357723407,105.460593214022,106.825194756838,30.089235,2.342542,AUX_ECMWFT,0.350722,-1000,0.254129,-1000,-1000,PASSED,1051945894,20230817T184921_20230817T185726_T10UGV,GS2A_20230817T184921_042581_N05.09,0,SEN2COR_DDV,106.556864264393,155.351627058616,14.11497,85.25,367.15,245.59,955.32,PASSED,1692298859577,0,268.569615,1692298859577,05.09,113,29.373714,DESCENDING,PASSED,0.974513232695146,25.406414,8.88053818349071,8.78537225633434,8.76604825642473,8.73675056596892,8.71396877586523,8.90823072136976,8.72415603618312,8.82298144562706,0.955563,8.80697624190777,37.946371922333,8.84916187146812,0,10UGV,64.711773,S2A_MSIL2A_20230817T184921_N0509_R113_T10UGV_20230818T001159,8.7390852198338,812.92,0.0178,8.78602016968123,PASSED,8.84373072300886,1287.61,105.763888483977,1424.64,106.200870708452,1041.63,106.616268871472,1162.08,1959.66,1884.69,1512.06,1823.24,0.679768,2023-08-17
0,COPERNICUS/S2_SR_HARMONIZED/20230817T184921_20230817T185726_T11ULQ,Sentinel-2A,0,-1000,0.138478,"{'type': 'LinearRing', 'coordinates': [[-118.22501235555822, 48.65867495375569], [-118.22500851146368, 48.65868983889382], [-118.23713666711151, 49.152360725815186], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.6313305734517, 49.62290180459294], [-119.6313807720542, 49.6228710132139], [-119.63144630232368, 49.62285653783974], [-119.63145956809569, 49.62283577291686], [-119.67120124382784, 49.52908262110721], [-119.6915494521268, 49.47679067161634], [-119.72340729314307, 49.39399616884212], [-119.74647177441219, 49.332985848899845], [-119.75102861163387, 49.29615853529592], [-119.73273571027458, 48.9646928563921], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.2251426693759, 48.658605900886926], [-118.22508072521917, 48.65864314135155], [-118.22501235555822, 48.65867495375569]]}",PASSED,1692317519000,57.505357,57.34036,12.233549,1.374284,-1000,-1000,S2A_OPER_MSI_L2A_DS_2APS_20230818T001159_S20230817T185726_N05.09,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A042581_20230817T185726,105.62118137453,INS-NOBS,106.345825926723,106.07929303871,106.134148223972,105.887166942145,21.451174,105.984743549727,PASSED,105.510520516226,105.728047626852,106.292940393738,21.346499,2.274459,AUX_ECMWFT,0.291536,-1000,0.170103,-1000,-1000,PASSED,1494719539,20230817T184921_20230817T185726_T11ULQ,GS2A_20230817T184921_042581_N05.09,0,SEN2COR_DDV,106.196406719931,156.148814220892,16.666366,85.25,367.15,245.59,955.32,PASSED,1692298857629,0,269.019438,1692298857629,05.09,113,1.591939,DESCENDING,PASSED,0.974513232695146,23.760313,7.36125020872298,7.22390340593272,7.19744245889853,7.15181580258488,7.12857031479457,7.40299060508337,7.13421970121945,7.28241606130367,1.298956,7.25214107111039,37.8415995560158,7.31761503748777,0,11ULQ,57.34036,S2A_MSIL2A_20230817T184921_N0509_R113_T11ULQ_20230818T001159,7.17879679955879,812.92,0.0088,7.24292110601472,PASSED,7.32242173233019,1287.61,105.903577230904,1424.64,106.082793509275,1041.63,106.231442340424,1162.08,1959.66,1884.69,1512.06,1823.24,0.660105,2023-08-17
0,COPERNICUS/S2_SR_HARMONIZED/20230820T185921_20230820T190020_T10UGV,Sentinel-2A,0,-1000,0.015033,"{'type': 'LinearRing', 'coordinates': [[-120.23161840128378, 49.619635570948745], [-120.23162358028529, 49.61962099411335], [-120.2592030914337, 49.12644726133067], [-120.28603979153036, 48.633227564023905], [-120.28598669129718, 48.63318477424808], [-120.28594217170989, 48.633137985861104], [-120.28591997160291, 48.633134665269424], [-118.79928250914857, 48.58844826377462], [-118.79921684951579, 48.58848247575698], [-118.79914517310502, 48.58851100766749], [-118.79913972655694, 48.58852563733207], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71514432843388, 49.57339214035129], [-118.7151881209127, 49.57343954244238], [-118.71521064200907, 49.57344318513489], [-120.23148014090812, 49.6197000545994], [-120.23154615511808, 49.6196649880231], [-120.23161840128378, 49.619635570948745]]}",PASSED,1692581280000,21.140666,21.569496,0.275274,0.504113,-1000,-1000,S2A_OPER_MSI_L2A_DS_2APS_20230821T012800_S20230820T190020_N05.09,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A042624_20230820T190020,267.136481325429,INS-NOBS,265.809186546793,265.80976405119,265.678526703763,266.526441855013,70.234632,266.418850131771,PASSED,268.290228212783,266.751358478435,265.8891289596,12.02144,0.183158,AUX_ECMWFT,0.891064,-1000,6.912896999999999,-1000,-1000,PASSED,1600350335,20230820T185921_20230820T190020_T10UGV,GS2A_20230820T185921_042624_N05.09,0,CAMS,265.618834279223,159.830473169674,0.505051,85.25,367.15,245.59,955.32,PASSED,1692558656839,0,299.059144,1692558656839,05.09,13,0.0,ASCENDING,PASSED,0.975595935266249,9.272783,4.79996301092672,4.54538238437223,4.48600422400364,4.39239407245733,4.31517193062108,4.867928529635,4.34467844333948,4.65734558402822,0.410934,4.5963403988476,38.2282864751858,4.72685069963149,0,10UGV,21.569496,S2A_MSIL2A_20230820T185921_N0509_R013_T10UGV_20230821T012800,4.47770593485162,812.92,0.024,4.59977332082687,PASSED,4.74738155402663,1287.61,266.332057977273,1424.64,265.355350642957,1041.63,265.163250665833,1162.08,1959.66,1884.69,1512.06,1823.24,0.168795,2023-08-20
